dma_name,geometry,pipe_size
DM-56-06-06-01,POINT (662355.2570000703 1526907.209099998),300.0
DM-56-06-05-01,POINT (661815.5611000677 1527323.774199999),300.0
DM-56-06-03-02,POINT (661819.5104000695 1527318.788999999),300.0
DM-56-06-03-01,POINT (661079.483700067 1526765.513599998),300.0
DM-56-06-02-01,POINT (660225.5758000641 1526543.691599998),200.0
DM-56-06-01-01,POINT (658856.9619021686 1528594.420541149),200.0
DM-56-05-02-01,POINT (652149.4744000484 1535918.330099997),300.0
DM-56-03-06-01,POINT (652207.1281000503 1535354.209799997),300.0
DM-56-03-01-01,POINT (652540.8036000518 1531966.385399997),300.0
DM-56-01-04-01,POINT (655111.3976000568 1534142.005399998),200.0
DM-56-01-03-01,POINT (655751.2751000554 1530991.917499999),200.0
DM-56-01-02-01,POINT (655091.914300055 1534117.662799998),200.0
DM-55-09-03-01,POINT (683670.0641001358 1508621.092199996),300.0
DM-55-09-02-01,POINT (684319.9633001365 1506165.450599996),0.0
DM-55-05-05-01,POINT (698123.0936002026 1516039.943799996),300.0
DM-55-05-04-01,POINT (700241.4806002134 1515074.249299995),300.0
DM-55-05-03-02,POINT (695189.0393001856 1517100.908099994),300.0
DM-55-05-03-01,POINT (695198.2942001873 1517125.769199997),300.0
DM-55-04-05-01,POINT (692679.6265001731 1517669.248399997),400.0
DM-55-04-04-01,POINT (689927.993700162 1517612.308199995),400.0
DM-55-04-03-05,POINT (692278.3948001718 1518173.568399995),300.0
DM-55-04-03-04,POINT (692249.5460001717 1518174.859199997),0.0
DM-55-04-03-02,POINT (689917.7426001613 1517638.400399997),
DM-55-04-02-03,POINT (691217.0452001665 1521184.715299995),300.0
DM-55-04-02-02,POINT (691296.0032001671 1521173.138299995),300.0
DM-55-04-02-01,POINT (688847.5769001569 1520649.458199997),300.0
DM-55-04-01-02,POINT (691296.794600166 1521180.111199996),300.0
DM-55-04-01-01,POINT (694122.7113001787 1521054.834499996),1000.0
DM-55-03-04-01,POINT (686448.1830001471 1517644.903499998),300.0
DM-55-03-03-01,POINT (685468.463000141 1517643.993599996),0.0
DM-55-03-02-01,POINT (686449.1366001449 1517671.214899996),400.0
DM-55-03-01-02,POINT (686428.0304001444 1518644.077799996),300.0
DM-55-02-03-01,POINT (688820.5239001554 1520637.756299998),300.0
DM-55-02-02-01,POINT (686988.3610001472 1522110.510799996),0.0
DM-55-02-01-01,POINT (687302.2521001487 1522834.553699997),0.0
DM-55-01-03-01,POINT (686479.9399001459 1522389.465899996),0.0
DM-55-01-02-01,POINT (686463.8041001473 1522409.514899997),0.0
DM-55-01-01-01,POINT (687282.3467001513 1522845.831199995),0.0
DM-54-08-16-01,POINT (641725.1083000348 1551081.016200001),
DM-54-08-15-01,POINT (641704.4475000346 1551080.665799997),
DM-54-08-14-01,POINT (641739.2156000343 1549735.993999998),
DM-54-08-13-01,POINT (641717.9009000334 1550027.227599999),
DM-54-08-12-01,POINT (650402.9364000463 1545454.521099998),
DM-54-08-11-01,POINT (650348.4702000474 1545404.671799997),
DM-54-08-10-01,POINT (652634.7391000491 1542393.383999998),
DM-54-08-09-01,POINT (652576.0843000507 1542355.6043),300.0
DM-54-08-08-01,POINT (651862.6582000506 1540425.407199997),300.0
DM-54-08-07-02,POINT (649217.8015000456 1542126.939099998),
DM-54-08-07-01,POINT (650912.8789000467 1540988.482999999),300.0
DM-54-08-06-01,POINT (642238.4511000379 1546616.591999998),300.0
DM-54-08-05-01,POINT (642220.8141000355 1546602.007899998),300.0
DM-54-08-04-01,POINT (644648.492000039 1545061.422799998),300.0
DM-54-08-03-01,POINT (644630.8612000395 1545039.040099999),300.0
DM-54-08-02-01,POINT (647602.0015000418 1543117.852299998),
DM-54-08-01-01,POINT (652418.9240000487 1539123.538599998),300.0
DM-54-07-05-01,POINT (652492.8594000504 1539097.822799996),300.0
DM-54-07-04-01,POINT (652113.6601000512 1537068.559199998),200.0
DM-54-07-03-01,POINT (654055.7801000519 1538117.260199997),0.0
DM-54-07-02-01,POINT (654482.1793000535 1536877.891799997),200.0
DM-54-07-01-01,POINT (652228.9286000524 1535881.737699998),200.0
DM-54-05-03-01,POINT (654892.6686000552 1535181.605399998),200.0
DM-54-05-02-01,POINT (653517.502800053 1534364.249799997),200.0
DM-54-05-01-01,POINT (652287.2635000512 1535305.644999997),300.0
DM-54-04-06-01,POINT (644081.9651000371 1543710.138199997),
DM-54-04-05-01,POINT (648776.8106000453 1540480.855299999),
DM-54-04-04-01,POINT (651223.178700048 1538881.155799997),300.0
DM-54-04-02-03,POINT (645223.033300038 1540856.199599998),
DM-54-04-02-02,POINT (645089.2465000388 1538177.800799997),
DM-54-04-02-01,POINT (647004.5963000443 1538180.412999999),300.0
DM-54-04-01-01,POINT (649955.6056000479 1538181.015999998),
DM-54-02-10-03,POINT (661112.3285000662 1539280.820699997),
DM-54-02-10-02,POINT (660198.8815000644 1539579.886799999),
DM-54-02-10-01,POINT (658982.0955000627 1539847.460899998),
DM-54-02-09-01,POINT (657558.1392000599 1541658.550099998),
