MATL,PIPE_SIZE,EXT_SIZE,THICK,INT_COVER,INT_SIZE,ROUGH
AC,50,70,10,1,48,135
AC,100,115,10,1,93,135
AC,150,170,13,1,142,135
AC,200,227,17,1,191,135
AC,250,280,19,1,240,135
AC,300,335,22,1,289,135
AC,400,460,30,1,398,135
AC,500,580,40,1,498,135
AC,600,694,47,1,598,135
AC,800,916,58,1,798,135
AC,1000,1146,73,1,998,135
CI,400,412.4,6,1,406.4,125
CI,500,514,6,1,508,125
CI,600,615.6,6,1,609.6,125
CI,700,691.8,6,1,685.8,125
CI,800,788.696,7.9,1,780.796,125
CI,900,942.92,8.2,1,934.72,125
CI,1000,944.22,9.5,1,1037.844,125
CI,1200,1048.944,11.1,1,1166.368,125
CI,1250,1177.468,11.1,1,1243.076,125
DI,600,635,9.9,1,613.2,140
DI,800,842,11.7,1,816.6,140
DI,1000,1048,13.5,1,1019,140
DI,1200,1255,15.3,1,1222.4,140
HDPE,300,320,15,0,290,140
HDPE,560,560,33.2,0,493.6,140
HDPE,600,600,35.3,0,529.4,140
HDPE,630,630,37.4,0,555.2,140
HDPE,710,710,42.1,0,625.8,140
HDPE,800,800,47.4,0,705.2,140
HDPE,900,900,53.3,0,793.4,140
HDPE,1000,1000,59.3,1,880.4,140
HDPE,1200,1200,57.2,1,1084.6,140
HDPE,1400,1400,53.5,1,1292,140
HDPE,1600,1600,61.2,1,1476.6,140
PC,400,406.4,6,1,392.4,120
PC,500,508,6,1,494,120
PC,600,609.6,6,1,595.6,120
PC,700,711.2,6,1,697.2,120
PC,800,812.8,7.9,1,795,120
PC,900,914.4,7.9,1,896.6,120
PC,1000,1016,9.5,1,995,120
PC,1200,1219.2,11.1,1,1195,120
PVC,300,318,12.9,0,292.2,140
RCP,600,613,8,1,595,135
RCP,800,812.8,9.5,1,791.8,135
RCP,1000,1016,12.7,1,988.6,135
RCP,1200,1219.2,15.9,1,1185.4,135
RCP,1500,1524,19.1,1,1483.8,135
SCP,800,812.8,9.5,1,791.8,135
SCP,1000,1016,12.7,1,988.6,135
SCP,1200,1219.2,15.9,1,1185.4,135
SCP,1500,1524,19.1,1,1483.8,135
SCP,1800,1820,25.4,1,1767.2,135
ST,300,325.8,10.3,1,303.2,140
ST,400,406.4,6,1,399.4,140
ST,500,508,6,1,501,140
ST,560,574,6,1,560,140
ST,600,609.6,6,1,602.6,140
ST,700,711.2,6,1,704.2,140
ST,800,812.8,7.9,1,803.9,140
ST,900,914.4,7.9,1,905.5,140
ST,1000,1016,9.5,1,1005.5,140
ST,1100,1117.6,9.5,1,1107.1,140
ST,1200,1219.2,11.1,1,1207.1,140
ST,1250,1270,11.5,1,1245,140
ST,1300,1320.8,12.7,1,1307.1,140
ST,1400,1422.4,12.7,1,1408.7,140
ST,1500,1524,12.7,1,1510.3,140
ST,1800,1820,15.9,1,1803.1,140
ST,2100,2120,19.1,1,2099.9,140
ST,2300,2342,20,1,2300,140
