,BANGPLEE,LADKRABUNG,MAHASAWAT,MINBURI,PETKASEM,RATBURANA,SUMRONG
0,DM-13-06-05-01,DM-07-06-01-01,DM-01-04-03-03,DM-07-07-02-01,DM-01-08-02-02,DM-02-02-06-03,DM-13-01-04-04
1,DM-13-06-05-02,DM-07-06-03-01,DM-01-04-04-01,DM-07-07-03-01,DM-01-08-03-01,DM-02-04-01-02,DM-13-02-04-01
2,DM-13-06-05-03,DM-07-06-03-02,DM-01-04-05-01,DM-07-07-04-01,DM-01-08-04-01,DM-02-04-01-03,DM-13-02-04-02
3,DM-13-07-05-03,DM-07-06-03-03,DM-01-04-06-01,DM-07-07-04-02,DM-01-08-04-02,DM-02-04-02-01,DM-13-02-04-03
4,DM-17-01-10-01,DM-07-06-03-04,DM-01-05-01-01,DM-07-07-04-03,DM-11-05-02-02,DM-02-04-06-01,DM-13-02-04-05
5,DM-17-01-10-02,DM-07-06-04-01,DM-01-05-01-02,DM-07-07-05-01,DM-11-05-05-01,DM-02-08-03-01,DM-13-02-06-01
6,DM-17-01-11-01,DM-07-06-04-03,DM-01-05-03-01,DM-07-07-05-02,DM-11-05-05-02,DM-02-08-04-03,DM-13-02-06-02
7,DM-17-01-11-02,DM-07-06-05-02,DM-01-05-03-02,DM-07-07-06-01,DM-11-05-06-01,DM-02-12-03-01,DM-13-02-07-02
8,DM-17-01-11-03,DM-07-06-07-01,DM-01-05-04-01,DM-07-07-06-02,DM-11-05-06-02,DM-02-14-03-03,DM-13-02-08-01
9,DM-17-01-11-04,DM-07-06-11-01,DM-01-06-01-01,DM-07-07-07-01,DM-11-05-06-03,DM-02-14-04-01,DM-13-04-01-01
10,DM-17-02-01-01,DM-07-07-01-01,DM-01-06-01-02,DM-07-07-07-02,DM-11-05-27-01,DM-02-14-04-02,DM-13-04-01-02
11,DM-17-02-02-01,DM-07-07-02-04,DM-01-06-02-01,DM-07-07-09-01,DM-11-05-27-02,DM-02-14-04-03,DM-13-04-01-03
12,DM-17-04-01-01,DM-07-07-06-03,DM-01-06-02-02,DM-07-07-10-01,DM-11-05-27-03,DM-02-14-05-01,DM-13-04-01-04
13,DM-17-04-03-01,DM-07-07-07-03,DM-01-06-02-04,DM-07-07-11-01,DM-11-05-28-01,DM-02-14-05-02,DM-13-04-02-01
14,DM-17-04-03-02,DM-13-03-03-01,DM-01-06-02-05,DM-12-06-09-01,DM-11-05-30-02,DM-02-14-05-03,DM-13-04-03-01
15,DM-17-04-04-01,DM-13-03-03-02,DM-01-06-03-01,DM-12-07-02-02,DM-11-05-31-01,DM-02-14-06-01,DM-13-04-04-01
16,DM-17-04-05-01,DM-13-03-04-01,DM-01-06-03-02,DM-12-07-02-03,DM-11-06-04-01,DM-02-14-07-01,DM-13-04-04-02
17,DM-17-04-05-02,DM-13-03-04-02,DM-01-06-04-01,DM-12-07-04-01,DM-11-06-08-01,DM-02-14-07-02,DM-13-04-05-01
18,DM-17-05-01-01,DM-13-03-04-03,DM-01-06-04-02,DM-12-07-04-02,DM-11-06-09-01,DM-02-14-07-03,DM-13-04-05-02
19,DM-17-05-02-01,DM-13-03-05-01,DM-01-06-05-02,DM-12-07-05-01,DM-11-06-09-04,DM-02-14-07-04,DM-13-04-06-01
20,DM-17-05-03-01,DM-13-03-05-02,DM-01-06-05-03,DM-12-07-06-01,DM-11-06-10-01,DM-02-14-08-01,DM-13-04-06-02
21,DM-17-05-04-01,DM-13-03-06-01,DM-01-06-05-04,DM-12-07-07-01,DM-11-06-15-01,DM-02-14-09-01,DM-13-04-06-03
22,DM-17-05-05-01,DM-13-03-06-02,DM-01-07-01-01,DM-12-07-08-01,DM-11-06-24-02,DM-02-16-04-01,DM-13-04-07-01
23,DM-17-05-05-02,DM-13-03-06-03,DM-01-07-02-01,DM-16-08-01-01,DM-11-06-25-01,DM-02-16-06-01,DM-13-04-07-02
24,DM-17-05-06-01,DM-13-03-07-01,DM-01-07-02-02,DM-16-08-02-01,DM-11-07-03-01,DM-02-16-06-02,DM-13-05-03-01
25,DM-17-07-01-01,DM-13-03-07-02,DM-01-07-03-01,DM-16-08-02-02,DM-11-07-04-02,DM-02-16-07-01,DM-13-05-05-01
26,DM-17-07-02-01,DM-13-03-07-03,DM-01-07-03-02,DM-16-08-03-01,DM-11-07-04-03,DM-02-16-07-02,DM-13-05-06-01
27,DM-17-07-05-01,DM-13-05-01-02,DM-01-07-03-03,DM-53-01-01-01,DM-11-07-04-04,DM-02-16-08-01,DM-13-05-06-02
28,DM-17-07-06-01,DM-13-05-02-01,DM-01-07-03-04,DM-53-01-01-02,DM-11-07-04-05,DM-02-16-08-02,DM-13-05-07-01
29,DM-17-07-06-02,DM-13-05-02-02,DM-01-07-04-01,DM-53-01-01-04,DM-11-07-05-01,DM-14-05-01-02,DM-13-05-07-02
30,DM-17-07-07-02,DM-13-05-04-01,DM-01-07-04-02,DM-53-01-02-01,DM-11-07-06-01,DM-14-05-03-01,DM-13-06-01-01
31,DM-17-07-08-01,DM-13-05-04-03,DM-01-07-04-03,DM-53-01-02-02,DM-11-07-06-02,DM-14-05-05-01,DM-13-06-01-02
32,DM-17-07-08-02,DM-13-05-04-04,DM-01-07-04-04,DM-53-01-03-01,DM-11-07-07-01,DM-14-05-06-01,DM-13-06-04-01
33,DM-17-07-09-01,DM-13-05-08-01,DM-01-07-04-05,DM-53-01-04-01,DM-11-07-08-01,DM-14-05-06-02,DM-13-06-04-02
34,DM-17-07-09-02,DM-13-05-08-02,DM-01-07-04-06,DM-53-01-04-02,DM-11-07-09-01,DM-14-05-07-01,DM-13-06-04-03
35,DM-17-07-09-03,DM-13-05-08-03,DM-01-08-01-01,DM-53-01-05-01,DM-11-07-10-01,DM-14-06-01-01,DM-13-07-01-01
36,DM-17-07-09-04,DM-13-05-09-01,DM-01-08-01-02,DM-53-01-05-02,DM-11-07-11-01,DM-14-06-01-02,DM-13-07-01-02
37,DM-17-07-10-01,DM-13-05-09-02,DM-01-08-01-03,DM-53-01-05-03,DM-11-07-47-01,DM-14-06-02-02,DM-13-07-01-03
38,DM-17-07-10-02,DM-13-05-10-01,DM-01-08-02-01,DM-53-01-05-04,DM-11-07-47-02,DM-14-06-03-01,DM-13-07-02-01
39,DM-17-07-10-03,DM-13-05-11-01,DM-11-03-09-01,DM-53-01-05-05,DM-11-07-50-01,DM-14-06-04-01,DM-13-07-03-01
40,DM-17-08-01-02,DM-13-05-12-01,DM-11-03-09-02,DM-53-01-06-01,DM-11-07-51-01,DM-14-06-04-02,DM-13-07-03-02
41,DM-17-08-02-01,DM-13-06-02-01,DM-11-03-32-01,DM-53-01-06-02,DM-11-07-52-01,DM-14-06-04-03,DM-13-07-04-01
42,DM-17-08-02-02,DM-13-06-02-02,DM-11-03-34-02,DM-53-02-01-01,DM-11-07-53-05,DM-14-06-04-04,DM-13-07-04-02
43,DM-17-08-02-03,DM-13-06-02-03,DM-11-05-01-01,DM-53-02-02-01,DM-11-07-54-01,DM-14-06-05-01,DM-13-07-04-03
44,DM-17-08-03-01,DM-55-02-03-01,DM-11-05-04-01,DM-53-02-03-03,DM-11-07-54-02,DM-14-06-06-01,DM-13-07-05-01
45,DM-17-08-03-02,DM-55-03-01-01,DM-11-05-26-01,DM-53-02-04-01,DM-11-07-55-01,DM-14-06-06-02,DM-13-07-05-02
46,DM-17-08-04-01,DM-55-03-01-02,DM-11-05-29-01,DM-53-02-04-02,DM-11-07-56-01,DM-14-07-01-01,DM-13-07-06-01
47,DM-17-08-04-02,DM-55-03-02-01,DM-11-05-30-01,DM-53-02-04-03,DM-11-07-57-01,DM-14-07-01-02,DM-13-07-06-02
48,DM-17-08-04-03,DM-55-03-03-01,DM-11-06-02-02,DM-53-02-05-01,DM-11-07-57-02,DM-14-07-01-03,DM-13-07-06-03
49,DM-17-08-04-04,DM-55-03-04-01,DM-11-06-03-01,DM-53-02-05-02,DM-11-08-01-01,DM-14-07-04-01,DM-13-07-07-01
50,DM-17-08-04-05,DM-55-04-01-01,DM-11-06-18-01,DM-53-02-06-01,DM-11-08-02-01,DM-14-07-06-01,DM-13-07-07-02
51,DM-17-09-01-01,DM-55-04-01-03,DM-11-06-18-02,DM-53-02-06-02,DM-11-08-03-01,DM-14-07-07-01,DM-13-07-07-04
52,DM-17-09-01-02,DM-55-04-01-04,DM-11-06-24-01,DM-53-03-01-01,DM-11-08-05-01,DM-14-07-08-01,DM-13-07-07-05
53,DM-17-09-02-02,DM-55-04-02-01,DM-54-01-05-01,DM-53-03-01-02,DM-11-08-07-01,DM-14-09-01-01,DM-13-07-07-06
54,DM-17-09-03-01,DM-55-04-02-04,DM-54-01-05-02,DM-53-03-01-03,DM-11-08-08-02,DM-14-09-02-01,DM-14-07-02-01
55,DM-17-09-04-01,DM-55-04-02-05,DM-54-01-06-01,DM-53-03-02-01,DM-11-08-09-02,DM-14-09-02-02,DM-14-07-02-02
56,DM-17-09-05-01,DM-55-04-03-01,DM-54-02-03-01,DM-53-03-03-01,DM-11-08-09-03,DM-14-09-02-03,DM-14-07-03-01
