,BANGPLEE,LADKRABUNG,MAHASAWAT,MINBURI,PETKASEM,RATBURANA,SUMRONG,BK03,KLONGTAEY,PAHONYOTHIN,THAPRA,TONBURI,LADPRAW,LUMPINEE,BK04,SAMSEN
0,DM-13-06-05-01,DM-07-06-01-01,DM-01-04-03-03,DM-07-07-02-01,DM-01-08-02-02,DM-02-02-06-03,DM-13-01-04-04,DM-04-03-01-01,DM-03-06-11-01,DM-03-01-04-01,DM-01-01-05-01,DM-01-01-01-01,DM-03-01-08-01,DM-05-01-02-01,DM-03-01-02-01,DM-05-01-01-01
1,DM-13-06-05-02,DM-07-06-03-01,DM-01-04-04-01,DM-07-07-03-01,DM-01-08-03-01,DM-02-04-01-02,DM-13-02-04-01,DM-04-03-01-02,DM-06-06-10-01,DM-03-01-05-01,DM-01-02-05-01,DM-01-01-02-01,DM-03-01-09-01,DM-05-01-03-01,DM-03-01-02-02,DM-05-01-01-02
2,DM-13-06-05-03,DM-07-06-03-02,DM-01-04-05-01,DM-07-07-04-01,DM-01-08-04-01,DM-02-04-01-03,DM-13-02-04-02,DM-04-03-02-01,DM-06-06-10-02,DM-03-01-05-02,DM-01-05-04-02,DM-01-01-02-02,DM-03-02-07-01,DM-05-01-03-03,DM-03-01-02-03,DM-05-01-01-03
3,DM-13-07-05-03,DM-07-06-03-03,DM-01-04-06-01,DM-07-07-04-02,DM-01-08-04-02,DM-02-04-02-01,DM-13-02-04-03,DM-04-03-03-01,DM-06-06-12-01,DM-03-01-06-02,DM-01-06-05-01,DM-01-01-03-01,DM-03-02-08-01,DM-05-01-04-02,DM-03-02-02-01,DM-05-01-04-01
4,DM-17-01-10-01,DM-07-06-03-04,DM-01-05-01-01,DM-07-07-04-03,DM-11-05-02-02,DM-02-04-02-02,DM-13-02-04-05,DM-04-03-04-01,DM-07-01-01-01,DM-03-01-07-01,DM-01-09-03-01,DM-01-01-03-02,DM-03-02-09-01,DM-05-01-05-01,DM-03-02-03-01,DM-06-01-01-01
5,DM-17-01-10-02,DM-07-06-04-01,DM-01-05-01-02,DM-07-07-05-01,DM-11-05-05-01,DM-02-04-03-01,DM-13-02-06-01,DM-04-03-05-01,DM-07-01-01-02,DM-03-03-01-01,DM-01-09-05-01,DM-01-01-03-03,DM-03-04-03-01,DM-05-01-05-02,DM-03-02-04-01,DM-06-01-02-01
6,DM-17-01-11-01,DM-07-06-04-03,DM-01-05-03-01,DM-07-07-05-02,DM-11-05-05-02,DM-02-04-04-01,DM-13-02-06-02,DM-04-03-06-01,DM-07-01-02-01,DM-03-03-01-02,DM-01-09-07-01,DM-01-01-04-01,DM-03-04-04-01,DM-05-01-06-01,DM-03-02-05-01,DM-06-01-02-02
7,DM-17-01-11-02,DM-07-06-05-02,DM-01-05-03-02,DM-07-07-06-01,DM-11-05-06-01,DM-02-04-04-02,DM-13-02-07-02,DM-04-03-07-01,DM-07-01-02-02,DM-03-03-02-01,DM-01-09-08-01,DM-01-01-06-01,DM-03-04-04-02,DM-05-01-07-01,DM-03-02-06-01,DM-06-01-03-01
8,DM-17-01-11-03,DM-07-06-07-01,DM-01-05-04-01,DM-07-07-06-02,DM-11-05-06-02,DM-02-04-05-01,DM-13-02-08-01,DM-04-03-10-01,DM-07-01-03-01,DM-03-03-02-02,DM-01-09-09-01,DM-01-01-06-02,DM-03-04-07-01,DM-05-01-08-01,DM-12-01-01-01,DM-06-01-03-02
9,DM-17-01-11-04,DM-07-06-11-01,DM-01-06-01-01,DM-07-07-07-01,DM-11-05-06-03,DM-02-04-05-02,DM-13-04-01-01,DM-04-03-11-01,DM-07-01-04-01,DM-03-03-03-01,DM-01-09-10-01,DM-01-02-01-01,DM-03-04-08-01,DM-05-01-08-02,DM-12-01-01-02,DM-06-01-03-03
